"page_id","title","path","draft","template","archived","intended_version","marker_target_kind","marker_target_component","marker_target_element","existing_version_marker"
"684987756493653cc7c5a567","Blog","/resources/blog","false","false","false","v1","page_main","684987756493653cc7c5a567","e076f862-af51-2fe5-63fc-aaaa8f133400","no"
"684987756493653cc7c5a566","Topics","/resources/topics","false","false","false","v1","page_main","684987756493653cc7c5a566","24294125-462e-9b24-a1fd-ae9ac8cd7b90","no"
"684987756493653cc7c5a565","Webinars & Podcasts Template","/webinar","false","true","false","v1","page_main","684987756493653cc7c5a565","fdb703cc-30c3-5519-7941-b74fd89c947b","no"
"684987756493653cc7c5a564","Reports Template","/reports","false","true","false","v1","page_main","684987756493653cc7c5a564","40bb8536-7712-6783-b051-e4028c6ed073","no"
"684987756493653cc7c5a563","EBooks Template","/ebook","false","true","false","v1","page_main","684987756493653cc7c5a563","75570a4d-6221-1210-0fe8-c0d8f4aa21db","no"
"684987756493653cc7c5a562","Topic Cards Template","/topic-cards","false","true","false","v1","Body","684987756493653cc7c5a562","67bf7ddf3673d4c1f628e398","no"
"684987756493653cc7c5a561","Topics Template","/topics","false","true","false","v1","page_main","684987756493653cc7c5a561","0f9b81b5-2151-c249-6f49-c476a388aecd","no"
"684987756493653cc7c5a55f","Blogs Template","/blog","false","true","false","v1","page_main","684987756493653cc7c5a55f","236fe562-6623-dd81-be73-f5efe9d95c0e","no"
"684987756493653cc7c5a55e","News Template","/news","false","true","false","v1","page_main","684987756493653cc7c5a55e","30f81b7c-11f0-9e79-1cc1-7d674b49e1d3","no"
"684987756493653cc7c5a54a","New Sliders Template","/new-slider","false","true","false","v1","Body","684987756493653cc7c5a54a","67b4e625f4c294f306e88442","no"
"684987756493653cc7c5a549","Logos Template","/logos","false","true","false","v1","Body","684987756493653cc7c5a549","67b4e58a0df5658f7f644988","no"
"684987756493653cc7c5a548","Careers","/about/careers","false","false","false","v1","page_main","684987756493653cc7c5a548","2c615bb0-e460-819e-a112-5108a31a27fe","no"
"684987756493653cc7c5a547","Leaderships Template","/leadership","false","true","false","v1","Body","684987756493653cc7c5a547","67a3cd47970c8b294b0b0a8d","no"
"684987756493653cc7c5a546","Our Story","/about/our-story","false","false","false","v1","page_main","684987756493653cc7c5a546","54004d1b-fc17-6b19-c3c5-9d7a26810e27","no"
"684987756493653cc7c5a545","Leadership","/about/leadership","false","false","false","v1","page_main","684987756493653cc7c5a545","54004d1b-fc17-6b19-c3c5-9d7a26810e27","no"
"684987756493653cc7c5a532","Services","/draft-pages/services","true","false","false","v1","page_main","684987756493653cc7c5a532","4e7928d4-964e-6892-7358-24d9c83c10bc","no"
"684987756493653cc7c5a528","DAM","/products/pxm/dam","false","false","false","v1","page_main","684987756493653cc7c5a528","eafd3aa7-6f0e-6625-f4e9-c680bac7393c","no"
"684987756493653cc7c5a527","PIM","/products/pxm/pim","false","false","false","v1","page_main","684987756493653cc7c5a527","27f5f67e-57b6-a3e7-ffa6-52743a533474","no"
"684987756493653cc7c5a526","Syndication","/products/pxm/syndication","false","false","false","v1","page_main","684987756493653cc7c5a526","f15a5293-4ea7-b369-e6ff-fe4a2945a145","no"
"684987756493653cc7c5a525","Optimisation","/products/pxm/optimisation","false","false","false","v1","page_main","684987756493653cc7c5a525","31064b5b-5b78-7bb7-3853-0a1428b95763","no"
"684987756493653cc7c5a524","PXM","/products/pxm","false","false","false","v1","page_main","684987756493653cc7c5a524","54004d1b-fc17-6b19-c3c5-9d7a26810eeb","no"
"684987756493653cc7c5a521","Middle Mile","/draft-pages/middle-mile","true","false","false","v1","page_main","684987756493653cc7c5a521","54004d1b-fc17-6b19-c3c5-9d7a26810eeb","no"
